"
Date","American Express (AXP)
","Amgen Inc (AMGN)
","Apple Inc (AAPL)
","Boeing Co (BA)
","Caterpillar Inc (CAT)
","Cisco Systems Inc (CSCO)
","(CVX)
","(GS)
","Home Depot Inc (HD)
","Honeywell International Inc (HON)
","IBM Corp  (IBM)
","Intel Corp (INTC)
","Johnson & Johnson (JNJ)
","Coca-Cola Co (KO)
","JPMorgan Chase & Co (JPM)
","McDonald\'s Corp (MCD)
","3M Co (MMM)
","Merck & Co inc (MRK)
","Microsoft (MSFT)
","Nike Inc (NKE)
","Procter & Gamble Co (PG)
","TRV
","UnitedHealth Group (UNH)
","Salesforce Inc (CRM)
","Verizon Communications Inc (VZ)
","Visa Inc (V)
","Walgreens Boots Alliance Inc (WBA)
","Walmart Inc (WMT)
","Walt Disney Co (DIS)
"
2013-12-20,75.697342,86.656082,17.190050,116.807945,67.405579,15.460835,80.694481,145.337418,63.553654,69.520454,113.109306,18.885517,70.146606,29.150211,43.645241,74.097137,98.591003,34.581947,30.987686,34.638901,61.383022,70.806870,62.952797,53.720001,29.690832,50.347942,42.672916,62.582451,66.414452
2013-12-23,76.337006,86.025352,17.849754,116.577171,68.186272,15.782782,80.707626,146.424347,63.966537,69.652420,114.497925,19.081450,70.100914,29.237570,44.053699,73.935913,98.648712,34.609974,30.836113,34.535885,60.985504,70.791023,63.811024,54.580002,29.999592,50.828175,41.588741,62.938068,67.221687
2013-12-24,76.665482,85.303383,17.773979,116.944695,68.906342,15.870583,81.174255,146.167175,64.030098,70.219147,115.119888,19.164354,70.123779,29.259411,44.061264,74.120201,98.785736,34.645031,31.223459,34.782223,60.985504,71.053009,63.622215,54.799999,30.246603,50.991367,41.639339,63.051231,67.744576
2013-12-26,76.933456,86.906883,17.655947,118.175430,69.088234,15.951068,82.028641,146.407761,64.752647,70.723747,116.458267,19.367832,70.489410,29.477831,44.023438,74.350502,99.723145,34.862404,31.526598,35.019611,61.323032,71.465881,64.240181,54.849998,30.370108,51.334064,41.682705,63.358360,68.450897
2013-12-27,77.097702,87.484436,17.536646,117.004501,68.876022,16.112049,82.304688,146.324860,64.824112,70.754829,116.288605,19.292469,70.344673,29.601587,43.978065,74.404259,100.487556,34.911476,31.400280,35.006176,61.510532,71.338829,64.102859,54.450001,30.363941,51.210503,41.509243,63.423035,68.203232
2013-12-30,77.443428,87.765617,17.362251,116.166924,68.876022,16.280340,81.647461,145.810287,65.062317,70.646141,117.124306,19.480864,70.306580,29.914640,43.834324,74.481041,100.538033,35.016666,31.400280,35.265934,61.503017,71.680244,64.180077,55.169998,30.351591,51.499580,41.805588,63.552338,69.927795
2013-12-31,78.428917,86.694092,17.565767,116.654083,68.830521,16.412043,82.094383,147.079880,65.379921,70.933365,117.853111,19.563765,69.765793,30.074814,44.235237,74.496399,101.136559,35.093788,31.501324,35.221153,61.060505,71.886703,64.626411,55.189999,30.345400,51.912205,41.516487,63.600849,70.083748
2014-01-02,77.322472,88.001198,17.318731,116.807945,68.118065,16.220352,81.588295,146.772873,65.125816,70.118217,116.571365,19.435658,69.339241,29.601587,44.318977,74.020378,99.607796,34.701122,31.290817,35.041992,60.407978,70.925972,63.999859,54.860001,30.258957,51.522903,40.931011,63.778660,69.964493
2014-01-03,77.573105,86.990463,16.938307,117.619881,68.080162,16.205603,81.726334,147.818329,65.022591,70.273491,117.268768,19.428112,69.963814,29.455992,44.661602,74.120201,99.838577,34.869415,31.080320,34.947945,60.340481,70.791023,64.454750,55.119999,29.900776,51.557865,41.068352,63.568512,69.817726
2014-01-06,77.538544,86.238144,17.030672,118.295090,67.185753,16.227728,81.509407,148.830643,64.395325,70.203621,116.866608,19.186960,70.329453,29.317657,44.920456,73.590416,99.247246,34.876419,30.423510,34.679218,60.483006,70.600456,63.716640,54.230000,30.067513,51.247814,41.299641,63.212914,69.551689
